N,K,Samples,Avg Runtime,Max Runtime,Total Runtime,Std Dev
8,2,0,N/A,N/A,N/A,N/A
14,4,0,N/A,N/A,N/A,N/A
20,6,0,N/A,N/A,N/A,N/A
26,8,0,N/A,N/A,N/A,N/A
32,10,0,N/A,N/A,N/A,N/A
14,4,0,N/A,N/A,N/A,N/A
26,8,0,N/A,N/A,N/A,N/A
38,12,0,N/A,N/A,N/A,N/A
50,16,0,N/A,N/A,N/A,N/A
62,20,0,N/A,N/A,N/A,N/A
20,6,0,N/A,N/A,N/A,N/A
38,12,0,N/A,N/A,N/A,N/A
56,18,0,N/A,N/A,N/A,N/A
74,24,0,N/A,N/A,N/A,N/A
92,30,0,N/A,N/A,N/A,N/A
26,8,0,N/A,N/A,N/A,N/A
50,16,0,N/A,N/A,N/A,N/A
74,24,0,N/A,N/A,N/A,N/A
98,32,0,N/A,N/A,N/A,N/A
122,40,0,N/A,N/A,N/A,N/A
32,10,0,N/A,N/A,N/A,N/A
62,20,0,N/A,N/A,N/A,N/A
92,30,0,N/A,N/A,N/A,N/A
122,40,0,N/A,N/A,N/A,N/A
152,50,0,N/A,N/A,N/A,N/A
