N,K,Avg Runtime,Max Runtime,Total Runtime,Std Dev
10,4,0.0094131,0.056971,0.094131,0.016878763
22,10,0.095558226,0.515829,2.102281,0.13481098
22,10,0.0813792,0.292681,1.627584,0.09328021
22,10,0.1105099,0.656408,2.320708,0.1707537
26,12,0.12574539,0.640651,3.520871,0.18783115
26,12,0.14142731,0.60174,3.67711,0.19247457
14,6,0.018352572,0.089119,0.256936,0.026461544
26,12,0.12125833,0.798562,2.9102,0.19774377
30,14,0.15484516,0.804824,4.645355,0.22292432
18,8,0.076492116,0.4761,1.300366,0.13654408
34,16,0.20832944,1.393677,7.083201,0.3129466
22,10,0.071658,0.438712,1.504818,0.11801188
34,16,0.17797415,0.996597,6.940992,0.25760418
34,16,0.23963444,1.612333,8.866474,0.3714249
26,12,0.13375461,0.508348,3.076356,0.15739737
34,16,0.2514929,1.166962,8.802251,0.33252645
30,14,0.2251999,1.241306,6.080397,0.33041695
34,16,0.34930655,1.410279,10.479197,0.41022965
38,18,0.30501255,1.246053,10.675439,0.3881659
42,20,0.34297174,1.344216,14.061842,0.39226824
38,18,0.35505947,1.385656,13.49226,0.4402716
34,16,0.1954367,0.915944,6.644848,0.2867101
42,20,0.4141852,1.765473,17.809963,0.51863706
50,24,0.43177548,1.578164,25.474754,0.53669906
50,24,0.5345916,1.883316,27.798765,0.6291053
50,24,0.5148783,2.838957,25.229034,0.6605171
58,28,0.65221876,2.79236,39.133125,0.76685905
66,32,0.65505964,2.6626,50.439594,0.82818925
58,28,0.8104411,2.682379,43.763817,0.85498697
62,30,0.6650608,2.522029,45.224133,0.7902456
62,30,0.8347481,3.642634,52.589127,0.941417
66,32,0.8701132,3.199034,58.297585,0.9860407
66,32,0.9409798,3.383243,63.986626,1.0532712
74,36,0.8398648,3.286771,69.70878,1.0115176
66,32,0.9912254,3.957167,65.420876,1.1667141
74,36,1.1051126,3.70902,79.5681,1.2060122
82,40,1.2729638,4.910842,105.65599,1.3823155
86,42,1.23024,4.414026,114.41232,1.4217621
82,40,1.3531915,3.892478,109.60851,1.4366511
86,42,1.2148808,4.099007,110.55416,1.3648461
98,48,1.4523927,4.494347,158.3108,1.6792604
98,48,1.5459263,5.432643,159.23042,1.7040981
102,50,1.6099719,5.032504,169.04704,1.7482418
98,48,1.4781473,4.798714,149.29288,1.6306912
98,48,1.6003133,6.190775,156.8307,1.7250171
114,56,1.6923673,6.755174,213.2383,1.9540658
122,60,1.9776729,8.083531,251.16446,2.158479
122,60,2.1659062,7.716337,270.73828,2.364625
130,64,2.237243,7.338525,293.07883,2.3592336
142,70,2.0017161,6.753349,322.27628,2.3240488
146,72,2.2946537,7.556392,367.1446,2.5866423
142,70,2.318303,6.929365,347.74548,2.5192392
142,70,2.4339747,7.968255,362.66223,2.655167
170,84,2.7272537,8.40371,490.90564,2.9801917
162,80,2.6941526,7.763738,441.841,2.8054967
130,64,0.8613578,2.528842,120.590096,0.9552678
170,84,2.5136294,8.592388,462.5078,2.847878
162,80,1.3457245,4.047647,234.15605,1.4920012
198,98,2.534674,9.539615,565.2323,3.0247004
194,96,2.5619664,8.673676,520.07916,2.9505296
194,96,0.4544697,1.528196,90.89394,0.49864736
226,112,1.2097908,4.8733,289.14,1.4852366
258,128,1.0647229,4.559969,298.1224,1.3164704
226,112,0.16370995,0.59541,40.92749,0.18711743
