N,K,Samples,Avg Runtime,Max Runtime,Total Runtime,Std Dev,Makespan,I,J
13,2,8,0.013957625,0.077666,0.111661,0.024741087,16,1,1
33,6,20,0.0732777,0.441709,1.465554,0.098368324,32,1,3
23,4,14,0.024997357,0.08752,0.349963,0.029918626,32,1,2
43,8,26,0.08248215,0.450168,2.144536,0.10598158,30,1,4
53,10,32,0.09942338,0.276119,3.181548,0.07648035,31,1,5
63,12,38,0.10521826,0.543281,3.998294,0.101661906,34,1,6
21,4,14,0.029956786,0.127092,0.419395,0.029018147,62,2,1
41,8,26,0.05645023,0.291029,1.467706,0.082084075,62,2,2
73,14,44,0.18898882,0.850153,8.315508,0.14565128,38,1,7
29,6,20,0.10579845,1.222983,2.115969,0.26621607,77,3,1
83,16,50,0.20626326,0.706491,10.313163,0.16423307,36,1,8
61,12,38,0.13329929,0.679355,5.065373,0.16162923,70,2,3
59,12,38,0.10818292,1.431781,4.110951,0.22738667,81,3,2
37,8,26,0.05304469,0.547083,1.379162,0.10314959,105,4,1
81,16,50,0.14466263,0.500217,7.233132,0.12155086,80,2,4
45,10,32,0.05702575,0.176312,1.824824,0.048170876,132,5,1
53,12,38,0.062906474,0.222401,2.390446,0.050716422,162,6,1
101,20,62,0.25395423,0.623877,15.745163,0.13747677,88,2,5
77,16,50,0.14284296,0.61468,7.142148,0.1301773,153,4,2
89,18,56,0.18491665,0.8967,10.355332,0.1463142,140,3,3
61,14,44,0.096446455,0.426469,4.243644,0.07755256,221,7,1
69,16,50,0.10399176,0.328854,5.199588,0.07503861,232,8,1
95,20,62,0.22201218,0.553839,13.764755,0.13752319,179,5,2
121,24,74,0.37864107,0.9613,28.01944,0.1930142,95,2,6
119,24,74,0.37427872,0.860018,27.696625,0.19141078,135,3,4
117,24,74,0.37139127,1.125355,27.482952,0.18876415,156,4,3
113,24,74,0.3207533,1.145157,23.735744,0.2144111,200,6,2
141,28,86,0.50207365,1.6367,43.178333,0.2790015,104,2,7
161,32,98,0.49149084,1.37852,48.166103,0.23766103,103,2,8
149,30,92,0.464666,1.209114,42.749275,0.24435125,129,3,5
131,28,86,0.4346691,1.060682,37.381542,0.21867621,253,7,2
145,30,92,0.48467946,1.244325,44.59051,0.2350701,198,5,3
157,32,98,0.5085453,1.096811,49.837437,0.21799283,196,4,4
149,32,98,0.45486575,1.121522,44.576843,0.21462044,306,8,2
179,36,110,0.56726044,1.777678,62.39865,0.25685403,148,3,6
173,36,110,0.5886055,1.157698,64.746605,0.21627201,250,6,3
197,40,122,0.73699963,1.883804,89.913956,0.30119425,169,4,5
195,40,122,0.6942017,1.487795,84.69261,0.25995255,251,5,4
201,42,128,0.7578395,1.702515,97.003456,0.2765896,276,7,3
233,48,146,0.907798,1.771913,132.53851,0.32627156,254,6,4
229,48,146,0.8870426,1.945049,129.50822,0.3131267,277,8,3
237,48,146,0.90606904,1.568589,132.28607,0.29071137,202,4,6
239,48,146,0.8513161,1.446239,124.29215,0.291727,155,3,8
245,50,152,0.89894927,1.573365,136.64029,0.2718422,239,5,5
277,56,170,1.0917438,2.054225,185.59645,0.36957088,231,4,7
271,56,170,1.0531956,2.061391,179.04324,0.3478812,316,7,4
295,60,182,1.088215,2.084524,198.05511,0.3631655,241,5,6
309,64,194,1.1867092,2.633302,230.22159,0.36118373,354,8,4
341,70,212,1.4372396,2.920209,304.6948,0.42890766,335,7,5
353,72,218,1.500149,3.012133,327.0325,0.46315265,288,6,6
389,80,242,1.9423566,4.091862,470.0503,0.73146075,348,8,5
345,70,212,1.4417334,2.933127,305.6475,0.56399024,260,5,7
411,84,254,2.097172,4.061845,532.6817,0.6892618,377,7,6
317,64,194,0.799462,1.311392,155.09564,0.23063144,219,4,8
413,84,254,1.7910055,4.138399,454.9154,0.7690701,300,6,7
469,96,290,2.4385457,5.73024,707.1783,0.9751475,376,8,6
481,98,296,1.8481051,4.019169,547.0391,0.8463253,336,7,7
473,96,290,1.2276169,2.957231,356.00888,0.55221325,323,6,8
549,112,338,1.2188282,2.941783,411.96393,0.41965717,431,8,7
