N,K,Samples,Avg Runtime,Max Runtime,Total Runtime,Std Dev,Makespan,I,J
23,4,40,0.1126423,0.233997,4.505692,0.05652077,20,1,2
33,6,52,0.13543357,0.295223,7.042546,0.06751659,26,1,3
13,2,66,0.11457673,0.366189,7.562064,0.06512917,33,1,1
43,8,62,0.14170192,0.365751,8.785519,0.08200535,31,1,4
53,10,70,0.19083564,1.476827,13.358495,0.19879249,35,1,5
21,4,114,0.13712393,2.166101,15.632128,0.20240785,57,2,1
63,12,80,0.19404365,1.655739,15.523492,0.23276514,40,1,6
73,14,70,0.22940135,1.392375,16.058094,0.26194414,35,1,7
83,16,68,0.25505513,1.85871,17.343748,0.33946753,34,1,8
41,8,140,0.12663288,0.46471,17.728603,0.070311144,70,2,2
61,12,158,0.16181183,2.625084,25.566269,0.21584465,79,2,3
29,6,216,0.12140281,0.345103,26.223007,0.056254152,108,3,1
81,16,176,0.18363331,2.84636,32.319466,0.23087223,88,2,4
59,12,238,0.13605937,0.775803,32.38213,0.087418124,119,3,2
37,8,276,0.12189992,0.46916,33.64438,0.063041136,138,4,1
45,10,290,0.12471216,1.853019,36.166527,0.11270352,145,5,1
89,18,180,0.20020348,1.388327,36.036625,0.18844172,90,3,3
53,12,346,0.12613747,0.481154,43.643562,0.059614662,173,6,1
101,20,210,0.20988114,1.277843,44.07504,0.19467695,105,2,5
77,16,312,0.1513674,2.548188,47.226627,0.16123374,156,4,2
61,14,424,0.11687649,0.472433,49.555634,0.052912544,212,7,1
95,20,344,0.17315799,1.26027,59.56635,0.14962043,172,5,2
69,16,538,0.12843171,0.807543,69.09626,0.06942859,269,8,1
119,24,302,0.2332,1.384512,70.4264,0.21904553,151,3,4
117,24,368,0.21699639,1.530974,79.85467,0.24190037,184,4,3
113,24,430,0.18889733,1.164702,81.22585,0.16141064,215,6,2
141,28,188,0.37623814,3.491554,70.73277,0.49502313,94,2,7
131,28,506,0.21858364,1.391657,110.60332,0.21339475,253,7,2
145,30,348,0.30488998,2.047636,106.101715,0.33492824,174,5,3
149,30,308,0.3581639,2.224427,110.314476,0.39959776,154,3,5
161,32,234,0.4151573,3.086173,97.146805,0.48496038,117,2,8
157,32,372,0.31880948,2.394232,118.59712,0.34660292,186,4,4
149,32,534,0.2470254,1.421253,131.91156,0.23188163,267,8,2
179,36,308,0.4486393,3.221267,138.18091,0.54701436,154,3,6
173,36,404,0.3545137,2.665672,143.22354,0.4286095,202,6,3
195,40,434,0.43053585,3.253649,186.85255,0.542652,217,5,4
209,42,290,0.5823797,4.809238,168.89012,0.78566176,145,3,7
201,42,576,0.38195872,2.620346,220.00822,0.43703708,288,7,3
237,48,428,0.59929085,5.208458,256.4965,0.81572896,214,4,6
229,48,650,0.4380248,4.296071,284.71613,0.56184644,325,8,3
233,48,504,0.50274193,3.723875,253.38194,0.6103182,252,6,4
245,50,460,0.57862645,3.913175,266.16815,0.6771153,230,5,5
277,56,444,0.87335944,6.818562,387.77158,1.0723138,222,4,7
271,56,600,0.7294839,5.502608,437.69034,0.9176712,300,7,4
295,60,472,0.94618315,7.165071,446.59842,1.167612,236,5,6
293,60,576,0.81846833,6.427348,471.43777,1.0044173,288,6,5
239,48,336,0.6710148,4.303565,225.46097,0.79457974,168,3,8
309,64,646,0.8164661,8.058675,527.43713,1.0536261,323,8,4
341,70,602,1.0629449,9.099527,639.8928,1.2446386,301,7,5
353,72,600,1.1235589,7.600701,674.1353,1.3273118,300,6,6
345,70,512,1.158279,8.608657,593.0388,1.4171776,256,5,7
413,84,628,1.4558104,11.383173,914.24896,1.7209198,314,6,7
411,84,794,1.26617,9.089831,1005.339,1.3626767,397,7,6
469,96,836,1.3287487,10.798951,1110.834,1.5701724,418,8,6
473,96,644,1.4717361,11.991851,947.79803,1.7816286,322,6,8
481,98,674,1.5415583,10.666628,1039.0103,1.6987854,337,7,7
